"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]"
1.0,1.0,20.17086776351551,4018.8748380008274,123.53032738017882,2124.651419730283,14.904000000000002,0.0
2.0,1.0,85.31915021971231,210.61248692737422,148.04967564349766,2530.6383794534427,14.904000000000002,0.0
3.0,1.0,240.40408347358238,3304.551676566379,156.7524379060028,2716.560589816706,14.904000000000002,0.0
4.0,1.0,586.844849954873,2926.402210144733,165.62483291297698,3544.412827358012,14.904000000000002,0.0
5.0,1.0,702.4346950728807,4148.755701295629,128.86230465327907,1972.5805974693908,14.904000000000002,0.0
6.0,1.0,754.9657700447779,136.96341335018008,115.54056353603266,1053.1249454625286,14.904000000000002,0.0
7.0,1.0,898.1036469200492,1969.203279753265,147.52129537094177,1831.3232954724901,14.904000000000002,0.0
8.0,1.0,2091.885306406297,968.0383768721434,160.89007272388815,1736.1124293315602,14.904000000000002,0.0
9.0,1.0,2434.456537379961,413.0486957798132,146.96449636851102,1072.3501712115985,14.904000000000002,0.0
10.0,1.0,2901.6943512563507,4070.210411555786,131.41206257352152,1010.3635739581027,14.904000000000002,0.0
11.0,1.0,3918.414652528704,2898.9649544921485,125.35951373869487,2659.7163884448496,14.904000000000002,0.0
12.0,1.0,4420.356335345225,770.1355722822873,165.4671995918599,2444.0180988126895,14.904000000000002,0.0
13.0,1.0,4521.701334083416,1639.84522799363,127.1403184735212,3779.2383333074235,14.904000000000002,0.0
14.0,1.0,4951.204848425549,180.78144891500642,131.08105194994803,2273.057353783204,14.904000000000002,0.0
15.0,1.0,4996.955980853996,2186.4386381381205,153.72893598255973,3342.3821594344126,14.904000000000002,0.0
16.0,2.0,25.698131347001727,992.4235715328566,150.0509820808786,1379.1237761186042,14.904000000000002,0.0
17.0,2.0,60.56707408848786,4011.7438515941512,155.02548124626946,3599.1025975663483,14.904000000000002,0.0
18.0,2.0,452.667548404734,2723.9956688306447,139.93606389004904,2032.2233739572332,14.904000000000002,0.0
19.0,2.0,1616.8973199368713,3281.388561611389,166.42097186486376,1181.472083347066,14.904000000000002,0.0
20.0,2.0,2682.6368252706948,3523.24035386359,163.60258838807135,2003.1096644902461,14.904000000000002,0.0
21.0,2.0,2941.155832177791,1106.2376588281886,157.11825014961377,3358.3891577298227,14.904000000000002,0.0
22.0,2.0,3190.256218364794,3942.5903766561964,131.8475749008066,2958.3467189575226,14.904000000000002,0.0
